id;fee_id;subproduct_id;document_id;name;amount;category;tax;tax_amount;tax_category;status
;Fee for Cash Withdrawal;Conta B Prime;;placeholder - bankinter;4,81;;;;;
;Fee for Cash Withdrawal;Conta Serviços Mínimos Bancários - Basic Services Account;;placeholder - bankinter;4,81;;;;;
;Owners Change Fee;Conta Mais Ordenado;;placeholder - bankinter;7;;;;;
;Owners Change Fee;Conta Bankinter (idade igual ou superior a 18 anos).;;placeholder - bankinter;7;;;;;
;Owners Change Fee;Conta Bankinter em Moeda Estrangeira;;placeholder - bankinter;7;;;;;
;Owners Change Fee;Conta B Dynamic ;;placeholder - bankinter;7;;;;;
;Owners Change Fee;Conta Internacional;;placeholder - bankinter;7;;;;;
;Owners Change Fee;Conta BK Mini;;placeholder - bankinter;7;;;;;
;Owners Change Fee;Conta B Prime;;placeholder - bankinter;7;;;;;
;Owners Change Fee;Conta Serviços Mínimos Bancários - Basic Services Account;;placeholder - bankinter;7;;;;;
;Account Management;Conta à Ordem Financial Assets≤ 2.500,00€;;placeholder - bancobic;4;;;;;
;Account Management;Conta à Ordem Financial Assets> 2.500,00€ e ≤ 5.000,00€;;placeholder - bancobic;3,33;;;;;
;Account Management;Conta à Ordem Financial Assets> 5.000,00€ e ≤ 15.000,00€;;placeholder - bancobic;2,5;;;;;
;Account Management;Conta à Ordem Financial Asset Financial Assets> 15.000,00€ e ≤ 50.000,00€;;placeholder - bancobic;1,67;;;;;
;Account Management;Conta à Ordem Financial Asset Financial Assets> Financial Assets> 50.000,00€;;placeholder - bancobic;0;;;;;
;Account Management;Demand Deposit Account with Future;;placeholder - bancobic;0;;;;;
;Account Management;Cool Account (for contracts from 13 for november 2014);;placeholder - bancobic;0;;;;;
;Account Management;Demand Deposits Account for Insolvency;;placeholder - bancobic;0;;;;;
;Account Management;BIC Account for International Account;;placeholder - bancobic;5;;;;;
;Account Management;EuroBic Prime Account with paycheck domiciliation with bonus conditions;;placeholder - bancobic;4,5;;;;;
;Account Management;EuroBic Prime Account with paycheck domiciliation without bonus conditions;;placeholder - bancobic;6,5;;;;;
;Account Management;EuroBic 365 Account with paycheck domiciliation without bonus conditions;;placeholder - bancobic;4,25;;;;;
;Account Management;EuroBic 365 Account with paycheck domiciliation with bonus conditions;;placeholder - bancobic;3,25;;;;;
;Account Management;EuroBic Senior Account without crédit and resources =< 35.000€;;placeholder - bancobic;4;;;;;
;Account Management;EuroBic Senior Account with credit and resources > 35000€;;placeholder - bancobic;0;;;;;
;Account Management;EuroBic Plus Account (out of market) without maturity credit;;placeholder - bancobic;7;;;;;
;Account Management;EuroBic Plus Account (out of market) with maturity credit;;placeholder - bancobic;5;;;;;
;Bank Overdraft;Conta à Ordem Financial Assets≤ 2.500,00€;;placeholder - bancobic;0;;;;;
;Bank Overdraft;Conta à Ordem Financial Assets> 2.500,00€ e ≤ 5.000,00€;;placeholder - bancobic;0;;;;;
;Bank Overdraft;Conta à Ordem Financial Assets> 5.000,00€ e ≤ 15.000,00€;;placeholder - bancobic;0;;;;;
;Bank Overdraft;Conta à Ordem Financial Asset Financial Assets> 15.000,00€ e ≤ 50.000,00€;;placeholder - bancobic;0;;;;;
;Bank Overdraft;Conta à Ordem Financial Asset Financial Assets> Financial Assets> 50.000,00€;;placeholder - bancobic;0;;;;;
;Bank Overdraft;Demand Deposit Account with Future;;placeholder - bancobic;0;;;;;
;Bank Overdraft;Cool Account (for contracts from 13 for november 2014);;placeholder - bancobic;0;;;;;
;Bank Overdraft;Demand Deposits Account for Insolvency;;placeholder - bancobic;0;;;;;
;Bank Overdraft;BIC Account for International Account;;placeholder - bancobic;0;;;;;
;Bank Overdraft;EuroBic Prime Account with paycheck domiciliation with bonus conditions;;placeholder - bancobic;0;;;;;
;Bank Overdraft;EuroBic Prime Account with paycheck domiciliation without bonus conditions;;placeholder - bancobic;0;;;;;
;Bank Overdraft;EuroBic 365 Account with paycheck domiciliation without bonus conditions;;placeholder - bancobic;0;;;;;
;Bank Overdraft;EuroBic 365 Account with paycheck domiciliation with bonus conditions;;placeholder - bancobic;0;;;;;
;Bank Overdraft;EuroBic Senior Account without crédit and resources =< 35.000€;;placeholder - bancobic;0;;;;;
;Bank Overdraft;EuroBic Senior Account with credit and resources > 35000€;;placeholder - bancobic;0;;;;;
;Bank Overdraft;EuroBic Plus Account (out of market) without maturity credit;;placeholder - bancobic;0;;;;;
;Bank Overdraft;EuroBic Plus Account (out of market) with maturity credit;;placeholder - bancobic;0;;;;;
;Cash Withdrawal;Conta à Ordem Financial Assets≤ 2.500,00€;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;Conta à Ordem Financial Assets> 2.500,00€ e ≤ 5.000,00€;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;Conta à Ordem Financial Assets> 5.000,00€ e ≤ 15.000,00€;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;Conta à Ordem Financial Asset Financial Assets> 15.000,00€ e ≤ 50.000,00€;;placeholder - bancobic;5;;;;;
;Cash Withdrawal;Conta à Ordem Financial Asset Financial Assets> Financial Assets> 50.000,00€;;placeholder - bancobic;5;;;;;
